Title,Field,flagicon_URL,Field1,Field2
"Musician
","1
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Britney_Spears,Britney Spears
"Filmmaker
","3
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Steven_Spielberg,Steven Spielberg
"Musician
","4
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Madonna,Madonna
"Musicians
","5
",https://en.wikipedia.org/wiki/Republic_of_Ireland,https://en.wikipedia.org/wiki/U2,U2
"Musicians
","6
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/NSYNC,NSYNC
"Musicians
","7
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Mariah_Carey,Mariah Carey
"Television personality
","8
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Oprah_Winfrey,Oprah Winfrey
"Sportsperson (Basketball)
","9
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Michael_Jordan,Michael Jordan
"Actor
","10
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Tom_Hanks,Tom Hanks
"Actress
","1
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Jennifer_Aniston,Jennifer Aniston
"Musicians
","2
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Eminem,Eminem
"Sportsperson (Golf)
","3
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Tiger_Woods,Tiger Woods
"Filmmaker
","4
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Steven_Spielberg,Steven Spielberg
"Musician / Actress
","5
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Jennifer_Lopez,Jennifer Lopez
"Musician
","6
",https://en.wikipedia.org/wiki/United_Kingdom,https://en.wikipedia.org/wiki/Paul_McCartney,Paul McCartney
"Actor
","7
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Ben_Affleck,Ben Affleck
"Actor
","9
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Tom_Hanks,Tom Hanks
"Actor
","1
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Mel_Gibson,Mel Gibson
"Television personality
","3
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Fiona_Armstrong,Fiona Armstrong
"Actor
","4
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Tom_Cruise,Tom Cruise
"Musicians
","5
",https://en.wikipedia.org/wiki/United_Kingdom,https://en.wikipedia.org/wiki/The_Rolling_Stones,The Rolling Stones
"Writer
","6
",https://en.wikipedia.org/wiki/United_Kingdom,https://en.wikipedia.org/wiki/J.K._Rowling,J.K. Rowling
"Sportsperson (Basketball)
","7
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Michael_Jordan,Michael Jordan
"Musician
","8
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Bruce_Springsteen,Bruce Springsteen
"Filmmaker
","9
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Steven_Spielberg,Steven Spielberg
"Actor
","10
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Johnny_Depp,Johnny Depp
"Television personality
","1
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Oprah_Winfrey,Oprah Winfrey
"Actor
","3
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Mel_Gibson,Mel Gibson
"Filmmaker
","4
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/George_Lucas,George Lucas
"Sportsperson (Basketball)
","5
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Shaquille_O%27Neal,Shaquille O'Neal
"Filmmaker
","6
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Steven_Spielberg,Steven Spielberg
"Actor
","7
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Johnny_Depp,Johnny Depp
"Musician
","8
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Madonna,Madonna
"Musician
","9
",https://en.wikipedia.org/wiki/United_Kingdom,https://en.wikipedia.org/wiki/Elton_John,Elton John
"Actor
","10
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Tom_Cruise,Tom Cruise
"Musicians
","2
",https://en.wikipedia.org/wiki/United_Kingdom,https://en.wikipedia.org/wiki/The_Rolling_Stones,The Rolling Stones
"Musicians
","4
",https://en.wikipedia.org/wiki/Republic_of_Ireland,https://en.wikipedia.org/wiki/U2,U2
"Sportsperson (Golf)
","5
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Tiger_Woods,Tiger Woods
"Radio personality
","7
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Howard_Stern,Howard Stern
"Musician
","8
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/50_Cent,50 Cent
"Actors
","9
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/James_Gandolfini,James Gandolfini
"Writer
","10
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Dan_Brown,Dan Brown
"Musician
","3
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Madonna,Madonna
"Musicians
","4
",https://en.wikipedia.org/wiki/United_Kingdom,https://en.wikipedia.org/wiki/The_Rolling_Stones,The Rolling Stones
"Actor
","5
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Brad_Pitt,Brad Pitt
"Actor
","6
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Johnny_Depp,Johnny Depp
"Musician
","7
",https://en.wikipedia.org/wiki/United_Kingdom,https://en.wikipedia.org/wiki/Elton_John,Elton John
"Actor
","8
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Tom_Cruise,Tom Cruise
"Musician
","9
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Jay-Z,Jay-Z
"Actress
","3
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Angelina_Jolie,Angelina Jolie
"Musician
","4
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Beyonc%C3%A9,Beyoncé
"Sportsperson (Association football)
","5
",https://en.wikipedia.org/wiki/United_Kingdom,https://en.wikipedia.org/wiki/David_Beckham,David Beckham
"Musician
","7
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Jay-Z,Jay-Z
"Musicians
","8
",https://en.wikipedia.org/wiki/United_Kingdom,https://en.wikipedia.org/wiki/The_Police,The Police
"Writer
","9
",https://en.wikipedia.org/wiki/United_Kingdom,https://en.wikipedia.org/wiki/J.K._Rowling,J.K. Rowling
"Actor/Television personality
","10
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Brad_Pitt,Brad Pitt
"Actress
","1
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Angelina_Jolie,Angelina Jolie
"Musician
","6
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Bruce_Springsteen,Bruce Springsteen
"Filmmaker
","7
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Steven_Spielberg,Steven Spielberg
"Actress
","8
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Jennifer_Aniston,Jennifer Aniston
"Actor
","9
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Brad_Pitt,Brad Pitt
"Sportsperson (Basketball)
","10
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Kobe_Bryant,Kobe Bryant
"Musician
","2
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Beyonc%C3%A9,Beyoncé
"Filmmaker
","3
",https://en.wikipedia.org/wiki/Canada,https://en.wikipedia.org/wiki/James_Cameron,James Cameron
"Musician
","4
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Lady_Gaga,Lady Gaga
"Musician
","6
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Britney_Spears,Britney Spears
"Musicians
","7
",https://en.wikipedia.org/wiki/Republic_of_Ireland,https://en.wikipedia.org/wiki/U2,U2
"Actress
","8
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Sandra_Bullock,Sandra Bullock
"Actor
","9
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Johnny_Depp,Johnny Depp
"Musician
","10
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Madonna,Madonna
"Musician
","1
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Lady_Gaga,Lady Gaga
"Musician
","3
",https://en.wikipedia.org/wiki/Canada,https://en.wikipedia.org/wiki/Justin_Bieber,Justin Bieber
"Musician
","5
",https://en.wikipedia.org/wiki/United_Kingdom,https://en.wikipedia.org/wiki/Elton_John,Elton John
"Sportsperson (Golf)
","6
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Tiger_Woods,Tiger Woods
"Musician
","7
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Taylor_Swift,Taylor Swift
"Musician
","8
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Bon_Jovi,Bon Jovi
"Television personality
","9
",https://en.wikipedia.org/wiki/United_Kingdom,https://en.wikipedia.org/wiki/Simon_Cowell,Simon Cowell
"Sportsperson (Basketball)
","10
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/LeBron_James,LeBron James
"Musician / Actress
","1
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Jennifer_Lopez,Jennifer Lopez
"Musician
","4
",https://en.wikipedia.org/wiki/Barbados,https://en.wikipedia.org/wiki/Rihanna,Rihanna
"Musician
","5
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Lady_Gaga,Lady Gaga
"Television personality
","7
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Kim_Kardashian,Kim Kardashian
"Musician
","8
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Katy_Perry,Katy Perry
"Actor
","9
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Tom_Cruise,Tom Cruise
"Musician
","2
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Lady_Gaga,Lady Gaga
"Musician
","5
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Madonna,Madonna
"Musician
","6
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Taylor_Swift,Taylor Swift
"Musicians
","7
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Bon_Jovi,Bon Jovi
"Sportsperson (Tennis)
","8
",https://en.wikipedia.org/wiki/Switzerland,https://en.wikipedia.org/wiki/Roger_Federer,Roger Federer
"Musician
","9
",https://en.wikipedia.org/wiki/Canada,https://en.wikipedia.org/wiki/Justin_Bieber,Justin Bieber
"Television personality
","10
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Ellen_DeGeneres,Ellen DeGeneres
"Musician
","1
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Beyonc%C3%A9,Beyoncé
"Sportsperson (Basketball)
","2
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/LeBron_James,LeBron James
"Musician
","3
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Dr._Dre,Dr. Dre
"Television personality
","4
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Oprah_Winfrey,Oprah Winfrey
"Television personality
","5
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Ellen_DeGeneres,Ellen DeGeneres
"Musician
","6
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Jay-Z,Jay-Z
"Sportsperson (Boxing)
","7
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Floyd_Mayweather_Jr.,Floyd Mayweather Jr.
"Musician
","8
",https://en.wikipedia.org/wiki/Barbados,https://en.wikipedia.org/wiki/Rihanna,Rihanna
"Musician
","9
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Katy_Perry,Katy Perry
"Actor
","10
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Robert_Downey_Jr.,Robert Downey Jr.
"Sportsperson (Boxing)
","1
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Floyd_Mayweather_Jr.,Floyd Mayweather Jr.
"Sportsperson (Boxing)
","2
",https://en.wikipedia.org/wiki/Philippines,https://en.wikipedia.org/wiki/Manny_Pacquiao,Manny Pacquiao
"Musician
","3
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Katy_Perry,Katy Perry
"Musicians
","4
",https://en.wikipedia.org/wiki/United_Kingdom,https://en.wikipedia.org/wiki/One_Direction,One Direction
"Television personality
","5
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Howard_Stern,Howard Stern
"Musician
","6
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Garth_Brooks,Garth Brooks
"Author
","7
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/James_Patterson,James Patterson
"Actor
","8
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Robert_Downey_Jr.,Robert Downey Jr.
"Musician
","8
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Taylor_Swift,Taylor Swift
"Sportsperson (Association football)
","10
",https://en.wikipedia.org/wiki/Portugal,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Cristiano Ronaldo
"Musician
","1
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Taylor_Swift,Taylor Swift
"Musicians
","2
",https://en.wikipedia.org/wiki/United_Kingdom,https://en.wikipedia.org/wiki/One_Direction,One Direction
"Author
","3
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/James_Patterson,James Patterson
"Sportsman (Association Football)
","4
",https://en.wikipedia.org/wiki/Portugal,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Cristiano Ronaldo
"Television Personality
","4
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Dr._Phil_McGraw,Dr. Phil McGraw
"Comedian
","6
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Kevin_Hart,Kevin Hart
"Radio Personality
","7
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Howard_Stern,Howard Stern
"Sportsman (Association Football)
","8
",https://en.wikipedia.org/wiki/Argentina,https://en.wikipedia.org/wiki/Lionel_Messi,Lionel Messi
"Musician
","9
",https://en.wikipedia.org/wiki/United_Kingdom,https://en.wikipedia.org/wiki/Adele,Adele
"Radio Personality
","10
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Rush_Limbaugh,Rush Limbaugh
"Musician
","1
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Sean_Combs,Sean 'Diddy' Combs
"Author
","3
",https://en.wikipedia.org/wiki/United_Kingdom,https://en.wikipedia.org/wiki/J._K._Rowling,J. K. Rowling
"Musician
","4
",https://en.wikipedia.org/wiki/Canada,https://en.wikipedia.org/wiki/Drake_(musician),Drake
"Athlete (Association Football)
","5
",https://en.wikipedia.org/wiki/Portugal,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Cristiano Ronaldo
"Musician
","6
",https://en.wikipedia.org/wiki/Canada,https://en.wikipedia.org/wiki/The_Weeknd,The Weeknd
"Musicians
","8
",https://en.wikipedia.org/wiki/United_Kingdom,https://en.wikipedia.org/wiki/Coldplay,Coldplay
"Author
","9
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/James_Patterson,James Patterson
"Athlete (Basketball)
","10
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/LeBron_James,LeBron James
"Athlete (Boxing)
","1
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Floyd_Mayweather,Floyd Mayweather
"Actor
","2
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/George_Clooney,George Clooney
"Personality
","3
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Kylie_Jenner,Kylie Jenner
"Television Personality
","4
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Judge_Judy_Sheindlin,Judge Judy Sheindlin
"Actor
","5
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Dwayne_Johnson,Dwayne Johnson
"Musicians
","6
",https://en.wikipedia.org/wiki/Republic_of_Ireland,https://en.wikipedia.org/wiki/U2,U2
"Musicians
","7
",https://en.wikipedia.org/wiki/United_Kingdom,https://en.wikipedia.org/wiki/Coldplay,Coldplay
"Athlete (Association football)
","8
",https://en.wikipedia.org/wiki/Argentina,https://en.wikipedia.org/wiki/Lionel_Messi,Lionel Messi
"Musician
","9
",https://en.wikipedia.org/wiki/United_Kingdom,https://en.wikipedia.org/wiki/Ed_Sheeran,Ed Sheeran
"Athlete (Association football)
","10
",https://en.wikipedia.org/wiki/Portugal,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Cristiano Ronaldo
"Personality
","2
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Kylie_Jenner,Kylie Jenner
"Rapper
","3
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Kanye_West,Kanye West
"Athlete (Association football)
","4
",https://en.wikipedia.org/wiki/Argentina,https://en.wikipedia.org/wiki/Lionel_Messi,Lionel Messi
"Musician
","5
",https://en.wikipedia.org/wiki/United_Kingdom,https://en.wikipedia.org/wiki/Ed_Sheeran,Ed Sheeran
"Athlete (Association football)
","6
",https://en.wikipedia.org/wiki/Portugal,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Cristiano Ronaldo
"Athlete (Association football)
","7
",https://en.wikipedia.org/wiki/Brazil,https://en.wikipedia.org/wiki/Neymar,Neymar
"Music group
","8
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/The_Eagles,The Eagles
"Television Personality
","9
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Phil_McGraw,Phil McGraw
"Athlete (Boxer)
","10
",https://en.wikipedia.org/wiki/Mexico,https://en.wikipedia.org/wiki/Canelo_Alvarez,"Saul ""Canelo"" Alvarez"
"Personality
","1
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Kylie_Jenner,Kylie Jenner
"Rapper
","2
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Kanye_West,Kanye West
"Athlete (Tennis)
","3
",https://en.wikipedia.org/wiki/Switzerland,https://en.wikipedia.org/wiki/Roger_Federer,Roger Federer
"Athlete (Association football)
","4
",https://en.wikipedia.org/wiki/Portugal,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Cristiano Ronaldo
"Athlete (Association football)
","5
",https://en.wikipedia.org/wiki/Argentina,https://en.wikipedia.org/wiki/Lionel_Messi,Lionel Messi
"Actor
","6
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Tyler_Perry,Tyler Perry
"Radio personality
","8
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Howard_Stern,Howard Stern
"Athlete (Basketball)
","9
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/LeBron_James,LeBron James
"Actor
","10
",https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Dwayne_Johnson,Dwayne Johnson
